Instrument,Sector,Angle,Location,Number
TF-1504,Sector#1,156.035,0.338,6
TF-1506,Sector#1,184.35,0.383,8
TF-1508,Sector#1,195.124,0.493,10
TF-1518,Sector#2,36.035,0.338,6
TF-1520,Sector#2,64.35,0.383,8
TF-1522,Sector#2,75.124,0.493,10
TF-1532,Sector#3,-23.965,0.338,6
TF-1534,Sector#3,4.35,0.383,8
TF-1536,Sector#3,15.124,0.493,10
