Instrument,Sector,Angle,Location,Number
TF-1904,Sector#1,156.035,0.338,6
TF-1906,Sector#1,184.35,0.383,8
TF-1908,Sector#1,195.124,0.493,10
TF-1918,Sector#2,36.035,0.338,6
TF-1920,Sector#2,64.35,0.383,8
TF-1922,Sector#2,75.124,0.493,10
