Instrument,Sector,Angle,Location,Number
TF-1110,Sector#1,156.035,0.338,6
TF-1112,Sector#1,184.35,0.383,8
TF-1114,Sector#1,195.124,0.493,10
TF-1123,Sector#2,36.035,0.338,6
TF-1125,Sector#2,64.35,0.383,8
TF-1127,Sector#2,75.124,0.493,10
