Instrument,Sector,Angle,Location,Number
TS-1003,Sector#1,0,0.000,1
TS-1004,Sector#1,171.7974,0.180,2
TS-1005,Sector#1,154.3453,0.320,5
TS-1007,Sector#1,185.5919,0.365,7
TS-1009,Sector#1,196.8117,0.475,9
TS-1011,Sector#1,170.9945,0.600,13
TS-1012,Sector#1,180.0331,0.850,18
