Instrument,Sector,Angle,Location,Number
TS-1103,Sector#1,0,0,1
TS-1104,Sector#1,180.0331,0.85,18
TS-1105,Sector#1,170.3842855,0.673,17
TS-1106,Sector#2,60.0331,0.85,18
