a_1,a_2,a_3,a_4,b,y,He_Density
-252.6807964,280.2648727,-120.7591386,20.02091915,2.680123561,0.376116788,0.09194
-252.6789039,280.2627736,-120.7582341,20.0207692,2.680103488,0.376222417,0.09194
-252.677012,280.2606752,-120.75733,20.0206193,2.680083421,0.376327988,0.09194
-252.6751209,280.2585777,-120.7564262,20.02046946,2.680063363,0.376433503,0.09194
-252.6732305,280.2564809,-120.7555228,20.02031967,2.680043311,0.376538961,0.09194
-252.6713407,280.2543848,-120.7546196,20.02016994,2.680023268,0.376644363,0.09194
-252.6694517,280.2522896,-120.7537168,20.02002027,2.680003231,0.376749708,0.09194
-252.6675634,280.2501951,-120.7528144,20.01987065,2.679983202,0.376854996,0.09194
-252.6656757,280.2481014,-120.7519123,20.01972108,2.67996318,0.376960228,0.09194
-252.6637888,280.2460085,-120.7510105,20.01957157,2.679943166,0.377065403,0.09194
-252.6619026,280.2439163,-120.750109,20.01942212,2.679923159,0.377170521,0.09194
-252.660017,280.241825,-120.7492079,20.01927272,2.67990316,0.377275583,0.09194
-252.6581322,280.2397344,-120.7483071,20.01912338,2.679883168,0.377380589,0.09194
-252.6562481,280.2376445,-120.7474067,20.01897409,2.679863183,0.377485538,0.09195
-252.6543646,280.2355555,-120.7465065,20.01882486,2.679843206,0.377590431,0.09195
-252.6524819,280.2334673,-120.7456068,20.01867568,2.679823236,0.377695267,0.09195
-252.6505999,280.2313798,-120.7447073,20.01852656,2.679803274,0.377800047,0.09195
-252.6487186,280.2292931,-120.7438082,20.0183775,2.679783319,0.37790477,0.09195
-252.6468379,280.2272072,-120.7429095,20.01822849,2.679763372,0.378009438,0.09195
-252.644958,280.2251221,-120.742011,20.01807953,2.679743433,0.378114049,0.09195
-252.6430789,280.2230377,-120.7411129,20.01793064,2.6797235,0.378218603,0.09195
-252.6412004,280.2209542,-120.7402152,20.0177818,2.679703576,0.378323102,0.09195
-252.6393226,280.2188714,-120.7393178,20.01763301,2.679683659,0.378427544,0.09195
-252.6374455,280.2167894,-120.7384207,20.01748429,2.679663749,0.37853193,0.09195
-252.6355692,280.2147082,-120.737524,20.01733562,2.679643847,0.37863626,0.09195
-252.6336935,280.2126278,-120.7366276,20.017187,2.679623953,0.378740534,0.09195
-252.6318186,280.2105482,-120.7357315,20.01703844,2.679604066,0.378844752,0.09195
-252.6299444,280.2084694,-120.7348358,20.01688994,2.679584186,0.378948914,0.09195
-252.6280709,280.2063914,-120.7339405,20.0167415,2.679564315,0.379053019,0.09196
-252.6261981,280.2043142,-120.7330454,20.01659311,2.67954445,0.379157069,0.09196
-252.624326,280.2022377,-120.7321507,20.01644478,2.679524594,0.379261063,0.09196
-252.6224547,280.2001621,-120.7312564,20.0162965,2.679504745,0.379365,0.09196
-252.620584,280.1980872,-120.7303624,20.01614828,2.679484903,0.379468882,0.09196
-252.6187141,280.1960132,-120.7294687,20.01600012,2.67946507,0.379572708,0.09196
-252.6168449,280.1939399,-120.7285754,20.01585202,2.679445243,0.379676478,0.09196
-252.6149764,280.1918675,-120.7276825,20.01570397,2.679425425,0.379780192,0.09196
-252.6131087,280.1897958,-120.7267898,20.01555598,2.679405614,0.37988385,0.09196
-252.6112416,280.187725,-120.7258976,20.01540805,2.679385811,0.379987453,0.09196
-252.6093753,280.1856549,-120.7250056,20.01526017,2.679366015,0.380091,0.09196
-252.6075097,280.1835857,-120.724114,20.01511235,2.679346227,0.380194491,0.09196
-204.6105723,252.1633655,-120.7232228,22.23884955,3.307810429,0.380297926,0.09196
-204.6090624,252.1615046,-120.7223319,22.23868543,3.307786018,0.380401306,0.09196
-204.607553,252.1596444,-120.7214413,22.23852138,3.307761617,0.38050463,0.09197
-204.6060442,252.157785,-120.7205511,22.23835739,3.307737225,0.380607898,0.09197
-204.604536,252.1559263,-120.7196613,22.23819347,3.307712843,0.380711111,0.09197
-204.6030284,252.1540683,-120.7187718,22.23802961,3.307688471,0.380814268,0.09197
-204.6015214,252.1522111,-120.7178826,22.23786581,3.307664108,0.38091737,0.09197
-204.600015,252.1503545,-120.7169938,22.23770208,3.307639755,0.381020416,0.09197
-204.5985091,252.1484987,-120.7161053,22.23753841,3.307615411,0.381123407,0.09197
-204.5970039,252.1466437,-120.7152172,22.23737481,3.307591076,0.381226342,0.09197
-204.5954993,252.1447893,-120.7143295,22.23721127,3.307566752,0.381329222,0.09197
-204.5939952,252.1429357,-120.713442,22.2370478,3.307542437,0.381432046,0.09197
-204.5924917,252.1410829,-120.712555,22.23688439,3.307518131,0.381534816,0.09197
-204.5909889,252.1392307,-120.7116683,22.23672105,3.307493835,0.381637529,0.09197
-204.5894866,252.1373793,-120.7107819,22.23655777,3.307469549,0.381740188,0.09197
-204.5879849,252.1355286,-120.7098959,22.23639455,3.307445272,0.381842791,0.09197
-204.5864838,252.1336787,-120.7090102,22.2362314,3.307421005,0.381945339,0.09197
