,Instrument_Time,TS-1201,R5_Time,httemp-130001001,httemp-130001101,TS-1202,tempg-164100000,tempg-164110000
0,0.0,566.9,442.815,0.0,0.0,329.6,0.0,0.0
1,0.5,566.3,442.8214,2.5,2.5,329.7,2.5,2.5
2,1.0,566.9,442.8278,5.0,5.0,329.7,5.0,5.0
3,1.5,566.8,442.8342,7.5,7.5,329.7,7.5,7.5
4,2.0,566.9,442.8406,10.0,10.0,329.7,10.0,10.0
5,2.5,566.6,442.847,12.5,12.5,329.7,12.5,12.5
6,3.0,566.7,442.8534,15.0,15.0,329.8,15.0,15.0
7,3.5,566.3,442.8598,17.5,17.5,329.7,17.5,17.5
8,4.0,566.7,442.8662,20.0,20.0,329.7,20.0,20.0
9,4.5,566.1,442.8726,22.5,22.5,329.8,22.5,22.5
10,5.0,566.5,442.8782,24.5,24.5,329.7,24.5,24.5
11,5.5,566.2,,,,329.7,,
12,6.0,566.4,,,,329.6,,
13,6.5,567.0,,,,329.8,,
14,7.0,566.0,,,,329.7,,
15,7.5,566.3,,,,329.8,,
16,8.0,566.1,,,,329.7,,
17,8.5,566.6,,,,329.6,,
18,9.0,566.8,,,,329.7,,
19,9.5,566.9,,,,329.6,,
20,10.0,566.6,,,,329.7,,
21,10.5,566.3,,,,329.8,,
22,11.0,566.3,,,,329.6,,
23,11.5,566.9,,,,329.7,,
24,12.0,566.6,,,,329.8,,
25,12.5,566.6,,,,329.7,,
26,13.0,566.5,,,,329.6,,
27,13.5,566.9,,,,329.7,,
28,14.0,566.2,,,,329.6,,
29,14.5,566.5,,,,329.7,,
30,15.0,566.8,,,,329.7,,
31,15.5,566.4,,,,329.7,,
32,16.0,566.8,,,,329.7,,
33,16.5,566.6,,,,329.7,,
34,17.0,566.5,,,,329.7,,
35,17.5,566.5,,,,329.6,,
36,18.0,566.5,,,,329.7,,
37,18.5,566.5,,,,329.7,,
38,19.0,566.7,,,,329.7,,
39,19.5,566.4,,,,329.6,,
40,20.0,567.0,,,,329.8,,
41,20.5,566.7,,,,329.6,,
42,21.0,567.1,,,,329.7,,
43,21.5,566.9,,,,329.7,,
44,22.0,566.7,,,,329.6,,
45,22.5,567.2,,,,329.8,,
46,23.0,567.4,,,,329.6,,
47,23.5,567.1,,,,329.7,,
48,24.0,566.8,,,,329.6,,
49,24.5,566.9,,,,329.8,,
