,Instrument_Time,TS-1801,R5_Time,httemp-130000401,httemp-130000501,TS-1802,tempg-164040000,tempg-164050000
0,0.0,210.6,418.8811,0.0,0.0,181.3,0.0,0.0
1,0.5,210.2,418.8834,2.5,2.5,181.2,2.5,2.5
2,1.0,209.3,418.8857,5.0,5.0,181.4,5.0,5.0
3,1.5,209.3,418.888,7.5,7.5,181.3,7.5,7.5
4,2.0,209.9,418.8903,10.0,10.0,181.4,10.0,10.0
5,2.5,209.9,418.8926,12.5,12.5,181.2,12.5,12.5
6,3.0,210.0,418.8949,15.0,15.0,181.3,15.0,15.0
7,3.5,209.6,418.8971,17.5,17.5,181.3,17.5,17.5
8,4.0,210.4,418.8994,20.0,20.0,181.3,20.0,20.0
9,4.5,210.2,418.9017,22.5,22.5,181.3,22.5,22.5
10,5.0,209.9,418.9037,24.5,24.5,181.4,24.5,24.5
11,5.5,210.2,,,,181.2,,
12,6.0,210.1,,,,181.4,,
13,6.5,210.7,,,,181.3,,
14,7.0,210.1,,,,181.3,,
15,7.5,209.9,,,,181.4,,
16,8.0,210.1,,,,181.3,,
17,8.5,210.6,,,,181.3,,
18,9.0,209.9,,,,181.1,,
19,9.5,210.1,,,,181.3,,
20,10.0,210.5,,,,181.2,,
21,10.5,210.2,,,,181.2,,
22,11.0,209.6,,,,181.2,,
23,11.5,210.4,,,,181.4,,
24,12.0,209.7,,,,181.3,,
25,12.5,210.4,,,,181.3,,
26,13.0,210.5,,,,181.2,,
27,13.5,210.0,,,,181.4,,
28,14.0,210.4,,,,181.3,,
29,14.5,210.1,,,,181.3,,
30,15.0,209.8,,,,181.3,,
31,15.5,209.9,,,,181.3,,
32,16.0,210.2,,,,181.3,,
33,16.5,210.5,,,,181.4,,
34,17.0,209.8,,,,181.4,,
35,17.5,210.3,,,,181.4,,
36,18.0,210.5,,,,181.4,,
37,18.5,209.9,,,,181.3,,
38,19.0,210.5,,,,181.4,,
39,19.5,210.4,,,,181.4,,
40,20.0,209.6,,,,181.3,,
41,20.5,210.2,,,,181.2,,
42,21.0,210.7,,,,181.4,,
43,21.5,210.7,,,,181.3,,
44,22.0,210.3,,,,181.4,,
45,22.5,210.3,,,,181.4,,
46,23.0,209.9,,,,181.3,,
47,23.5,209.5,,,,181.4,,
48,24.0,209.9,,,,181.4,,
49,24.5,210.5,,,,181.4,,
