Tag_Number,Instrument,Axial_Location,Radial_Azimuthal_Location,RELAP5_Model_Parameters,,,,,Total_Uncertainty,,Lower,Units
TF-2307,Thermocouple,Lower Plenum,"Post 62, upper",tempg-185010000,tempg-175010000 (185010000),,,,,,,
TF-2207,Thermocouple,Lower Plenum,"Post 62, lower",tempg-180010000,tempg-175010000 (180010000),,,,,,,
TS-2107,Thermocouple,Lower Plenum,"Post 62, floor","httemp-175000101, tempg-175010000",,,,,,,,
TF-2411,Thermocouple,Lower Plenum,"Post 92, gas inlet",tempg-150140000,,,,,,,,
TF-2311,Thermocouple,Lower Plenum,"Post 92, upper",tempg-185010000,tempg-175010000 (185010000),,,,,,,
TF-2211,Thermocouple,Lower Plenum,"Post 92, lower",tempg-180010000,tempg-175010000 (180010000),,,,,,,
TS-2111,Thermocouple,Lower Plenum,"Post 92, floor","httemp-175000101, tempg-175010000",,,,,,,,
TF-2409,Thermocouple,Lower Plenum,"Post 87, gas inlet",tempg-150140000,,,,,,,,
TF-2309,Thermocouple,Lower Plenum,"Post 87, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2209,Thermocouple,Lower Plenum,"Post 87, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2109,Thermocouple,Lower Plenum,"Post 87, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2410,Thermocouple,Lower Plenum,"Post 88, gas inlet",tempg-140140000,,,,,,,,
TF-2310,Thermocouple,Lower Plenum,"Post 88, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2210,Thermocouple,Lower Plenum,"Post 88, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2110,Thermocouple,Lower Plenum,"Post 88, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2413,Thermocouple,Lower Plenum,"Post 118, gas inlet",tempg-145140000,,,,,,,,
TF-2313,Thermocouple,Lower Plenum,"Post 118, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2213,Thermocouple,Lower Plenum,"Post 118, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2113,Thermocouple,Lower Plenum,"Post 118, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2414,Thermocouple,Lower Plenum,"Post 147, gas inlet",tempg-150140000,,,,,,,,
TF-2314,Thermocouple,Lower Plenum,"Post 147, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2214,Thermocouple,Lower Plenum,"Post 147, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2114,Thermocouple,Lower Plenum,"Post 147, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2412,Thermocouple,Lower Plenum,"Post 106, gas inlet",tempg-145140000,,,,,,,,
TF-2312,Thermocouple,Lower Plenum,"Post 106, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2212,Thermocouple,Lower Plenum,"Post 106, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2112,Thermocouple,Lower Plenum,"Post 106, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
,,,,,,,,,,,,
TF-2301,Thermocouple,Lower Plenum,"Post 2, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2201,Thermocouple,Lower Plenum,"Post 2, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TF-2308,Thermocouple,Lower Plenum,"Post 82, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2208,Thermocouple,Lower Plenum,"Post 82, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TF-2315,Thermocouple,Lower Plenum,"Post 148, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2215,Thermocouple,Lower Plenum,"Post 148, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TF-2316,Thermocouple,Lower Plenum,"Post 162, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2216,Thermocouple,Lower Plenum,"Post 162, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
,,,,,,,,,,,,
TS-2501,Thermocouple,Lower Vessel,"Side reflector, 1",htvat-1660015,,,,,,,,
TS-2502,Thermocouple,Lower Vessel,"Side reflector, 2",htvat-1660015,,,,,,,,
TS-2601,Thermocouple,Lower Vessel,"Lower head, 1",,,,,,,,,
TS-2602,Thermocouple,Lower Vessel,"Lower head, 2",,,,,,,,,
TS-2701,Thermocouple,Lower Vessel,"MCCS, 1",,,,,,,,,
TS-2702,Thermocouple,Lower Vessel,"MCCS, 2",,,,,,,,,
TF-2801,Thermocouple,Lower Vessel,"Lower break, 1",,tempg-800130000,,,,,,,
TF-2802,Thermocouple,Lower Vessel,"Lower break, 2",,tempg-800540000,,,,,,,
,,,,,,,,,,,,
TF-8201,Thermocouple,Upper Plenum,"Control Rod Drive 1, upper",tempg-120010000,,,,,,,,
TF-8101,Thermocouple,Upper Plenum,"Control Rod Drive 1, lower",tempg-120010000,,,,,,,,
TF-8202,Thermocouple,Upper Plenum,"Control Rod Drive 2, upper",tempg-120010000,,,,,,,,
TF-8102,Thermocouple,Upper Plenum,"Control Rod Drive 2, lower",tempg-120010000,,,,,,,,
TF-8203,Thermocouple,Upper Plenum,"Control Rod Drive 3, upper",tempg-120010000,,,,,,,,
TF-8103,Thermocouple,Upper Plenum,"Control Rod Drive 3, lower",tempg-120010000,,,,,,,,
TF-8204,Thermocouple,Upper Plenum,"Control Rod Drive 4, upper",tempg-120010000,,,,,,,,
TF-8104,Thermocouple,Upper Plenum,"Control Rod Drive 4, lower",tempg-120010000,,,,,,,,
TF-8205,Thermocouple,Upper Plenum,"Control Rod Drive 5, upper",tempg-120010000,,,,,,,,
TF-8105,Thermocouple,Upper Plenum,"Control Rod Drive 5, lower",tempg-120010000,,,,,,,,
TF-8206,Thermocouple,Upper Plenum,"Control Rod Drive 6, upper",tempg-120010000,,,,,,,,
TF-8106,Thermocouple,Upper Plenum,"Control Rod Drive 6, lower",tempg-120010000,,,,,,,,
TF-8207,Thermocouple,Upper Plenum,"Control Rod Drive 7, upper",tempg-120010000,,,,,,,,
TF-8107,Thermocouple,Upper Plenum,"Control Rod Drive 7, lower",tempg-120010000,,,,,,,,
TF-8208,Thermocouple,Upper Plenum,"Control Rod Drive 8, upper",tempg-120010000,,,,,,,,
TF-8108,Thermocouple,Upper Plenum,"Control Rod Drive 8, lower",tempg-120010000,,,,,,,,
TF-8209,Thermocouple,Upper Plenum,"Control Rod Drive 9, upper",tempg-120010000,,,,,,,,
TF-8109,Thermocouple,Upper Plenum,"Control Rod Drive 9, lower",tempg-120010000,,,,,,,,
TF-8210,Thermocouple,Upper Plenum,"Control Rod Drive 10, upper",tempg-120010000,,,,,,,,
TF-8110,Thermocouple,Upper Plenum,"Control Rod Drive 10, lower",tempg-120010000,,,,,,,,
TF-8211,Thermocouple,Upper Plenum,"Control Rod Drive 11, upper",tempg-120010000,,,,,,,,
TF-8111,Thermocouple,Upper Plenum,"Control Rod Drive 11, lower",tempg-120010000,,,,,,,,
TF-8212,Thermocouple,Upper Plenum,"Control Rod Drive 12, upper",tempg-120010000,,,,,,,,
TF-8112,Thermocouple,Upper Plenum,"Control Rod Drive 12, lower",tempg-120010000,,,,,,,,
,,,,,,,,,,,,
TS-8113,Thermocouple,Upper Plenum Shroud,H=33%,httemp-100100101,,,,,,,,
TS-8213,Thermocouple,Upper Plenum Shroud,H=66%,httemp-100100101,,,,,,,,
TS-8013,Thermocouple,Upper Plenum Shroud,Top,httemp-100100101,,,,,,,,
,,,,,,,,,,,,
TS-8114,Thermocouple,Upper Plenum Vessel,H=33%,httemp-100100114,,,,,,,,
TS-8214,Thermocouple,Upper Plenum Vessel,H=66%,httemp-100100114,,,,,,,,
TS-8014,Thermocouple,Upper Plenum Vessel,Top,httemp-100100114,,,,,,,,
,,,,,,,,,,,,
TF-8015,Thermocouple,Control Rod Drive Break,"Upper break, lower",,tempg-100080000,,,,,,,
TF-8016,Thermocouple,Control Rod Drive Break,"Upper break, upper",,tempg-100160000,,,,,,,
,,,,,,,,,,,,
TS-7101,Thermocouple,Outer Core Barrel,"Primary Sector, Lower Reflector #3",httemp-115000405,,,,,,,,
TS-7102,Thermocouple,Outer Core Barrel,"Primary Sector, Core Block #3",httemp-115000705,,,,,,,,
TS-7103,Thermocouple,Outer Core Barrel,"Primary Sector, Core Block #5",httemp-115000905,,,,,,,,
TS-7104,Thermocouple,Outer Core Barrel,"Primary Sector, Core Block #7",httemp-115001105,,,,,,,,
TS-7105,Thermocouple,Outer Core Barrel,"Primary Sector, Core Block #10",httemp-115001405,,,,,,,,
,,,,,,,,,,,,
TF-7201,Thermocouple,Upcomer,"Primary Sector, Lower Reflector #3",tempg-115040000,,,,,,,,
TF-7202,Thermocouple,Upcomer,"Primary Sector, Core Block #3",tempg-115070000,,,,,,,,
TF-7203,Thermocouple,Upcomer,"Primary Sector, Core Block #5",tempg-115090000,,,,,,,,
TF-7204,Thermocouple,Upcomer,"Primary Sector, Core Block #7",tempg-115110000,,,,,,,,
TF-7205,Thermocouple,Upcomer,"Primary Sector, Core Block #10",tempg-115140000,,,,,,,,
,,,,,,,,,,,,
TS-7301,Thermocouple,#2 RPV,"Primary Sector, Core Block #3",httemp-100000701,,,,,,,,
TS-7302,Thermocouple,#2 RPV,"Primary Sector, Core Block #5",httemp-100000901,,,,,,,,
TS-7303,Thermocouple,#2 RPV,"Primary Sector, Core Block #7",httemp-100001101,,,,,,,,
,,,,,,,,,,,,
TS-7401,Thermocouple,Outer RPV,"Primary Sector, Lower Reflector #3",httemp-100000406,,,,,,,,
TS-7402,Thermocouple,Outer RPV,"Primary Sector, Core Block #3",httemp-100000706,,,,,,,,
TS-7403,Thermocouple,Outer RPV,"Primary Sector, Core Block #5",httemp-100000906,,,,,,,,
TS-7404,Thermocouple,Outer RPV,"Primary Sector, Core Block #7",httemp-100001106,,,,,,,,
TS-7405,Thermocouple,Outer RPV,"Primary Sector, Core Block #10",httemp-100001406,,,,,,,,
,,,,,,,,,,,,
TF-3101,Thermocouple,Outlet Duct,"Rake #1, lower",tempg-206070000,tempg-200010000 (206070000),,,,,,,
TF-3102,Thermocouple,Outlet Duct,"Rake #1, middle","tempg-200010000, tempg-206070000","tempg-200010000 (200010000, 206070000)",,,,,,,
TF-3103,Thermocouple,Outlet Duct,"Rake #1, upper",tempg-200010000,tempg-200010000 (200010000),,,,,,,
TF-3201,Thermocouple,Outlet Duct,"Rake #2, lower",tempg-206010000,tempg-210010000 (206010000),,,,,,,
TF-3202,Thermocouple,Outlet Duct,"Rake #2, middle","tempg-200070000, tempg-206010000","tempg-210010000 (200070000, 206010000)",,,,,,,
TF-3203,Thermocouple,Outlet Duct,"Rake #2, upper",tempg-200070000,tempg-210010000 (200070000),,,,,,,
,,,,,,,,,,,,
TF-6101,Thermocouple,Inlet Duct,"Rake #1, lower",tempg-270040000,,,,,,,,
TF-6102,Thermocouple,Inlet Duct,"Rake #1, upper",tempg-270040000,,,,,,,,
TF-6301,Thermocouple,Inlet Duct,"Rake #3, lower",tempg-258010000,,,,,,,,
TF-6302,Thermocouple,Inlet Duct,"Rake #3, upper",tempg-258010000,,,,,,,,
GC-6101,GCI,Inlet Duct,"Rake #1, lower",quala-270040000,,,,,,,,
GC-6102,GCI,Inlet Duct,"Rake #1, middle",quala-270040000,,,,,,,,
GC-6301,GCI,Inlet Duct,"Rake #3, lower",quala-258010000,,,,,,,,
GC-6302,GCI,Inlet Duct,"Rake #3, upper",quala-258010000,,,,,,,,
,,,,,,,,,,,,
TF-4101,Thermocouple,RCST,Low,tempg-280010000,,,,,,,,
TF-4301,Thermocouple,RCST,Middle,tempg-280020000,,,,,,,,
TF-4401,Thermocouple,RCST,High,tempg-280020000,,,,,,,,
GC-4101,GCI,RCST,Low,quala-280010000,,,,,,,,
GC-4301,GCI,RCST,Middle,quala-280020000,,,,,,,,
GC-4401,GCI,RCST,High,quala-280020000,,,,,,,,
,,,,,,,,,,,,
TF-9101,Thermocouple,RCCS,"Ceiling, 1",tempg-900010000,,,,,,,,
TF-9201,Thermocouple,RCCS,"Ceiling, 2",tempg-900010000,,,,,,,,
TF-9301,Thermocouple,RCCS,"Ceiling, 3",tempg-900010000,,,,,,,,
TF-9401,Thermocouple,RCCS,"Ceiling, 4",tempg-900010000,,,,,,,,
TF-9102,Thermocouple,RCCS,"Cavity space, 1",tempg-900010000,,,,,,,,
TF-9202,Thermocouple,RCCS,"Cavity space, 2",tempg-900010000,,,,,,,,
TF-9302,Thermocouple,RCCS,"Cavity space, 3",tempg-900010000,,,,,,,,
TF-9402,Thermocouple,RCCS,"Cavity space, 4",tempg-900010000,,,,,,,,
,,,,,,,,,,,,
TF-9103,Thermocouple,RCCS,"Door #1, inlet",tempf-945010000,,,,,,,,
TF-9104,Thermocouple,RCCS,"Door #1, outlet",tempf-950190000,,,,,,,,
TF-9105,Thermocouple,RCCS,"Door #2, inlet",tempf-945010000,,,,,,,,
TF-9106,Thermocouple,RCCS,"Door #2, outlet",tempf-950190000,,,,,,,,
TF-9203,Thermocouple,RCCS,"Door #3, inlet",tempf-945010000,,,,,,,,
TF-9204,Thermocouple,RCCS,"Door #3, outlet",tempf-950190000,,,,,,,,
TF-9205,Thermocouple,RCCS,"Door #4, inlet",tempf-945010000,,,,,,,,
TF-9206,Thermocouple,RCCS,"Door #4, outlet",tempf-950190000,,,,,,,,
TF-9303,Thermocouple,RCCS,"Door #5, inlet",tempf-945010000,,,,,,,,
TF-9304,Thermocouple,RCCS,"Door #5, outlet",tempf-950190000,,,,,,,,
TF-9305,Thermocouple,RCCS,"Door #6, inlet",tempf-945010000,,,,,,,,
TF-9306,Thermocouple,RCCS,"Door #6, outlet",tempf-950190000,,,,,,,,
TF-9403,Thermocouple,RCCS,"Door #7, inlet",tempf-945010000,,,,,,,,
TF-9404,Thermocouple,RCCS,"Door #7, outlet",tempf-950190000,,,,,,,,
TF-9405,Thermocouple,RCCS,"Door #8, inlet",tempf-945010000,,,,,,,,
TF-9406,Thermocouple,RCCS,"Door #8, outlet",tempf-950190000,,,,,,,,
,,,,,,,,,,,,
DP-1001,Differential Pressure,Core,,cntrlvar-501,,,,,0.78%,,0.011831408,kPa
DP-7201,Differential Pressure,Upcomer,,cntrlvar-506,,,,,0.78%,,0.011831408,kPa
DP-8001,Differential Pressure,Upper plenum,,cntrlvar-503,,,,,0.78%,,0.011831408,kPa
DP-2001,Differential Pressure,Lower plenum,,cntrlvar-504,,,,,0.78%,,0.011831408,kPa
DP-2701,Differential Pressure,MCSS,,cntrlvar-505,,,,,0.78%,,0.011831408,kPa
DP-3001,Differential Pressure,Hot leg,,cntrlvar-502,,,,,0.78%,,0.011831408,kPa
PT-6001,Static Pressure,Cold leg,,p-270040000,,,,,1.26%,,13.0310964,kPa
PT-4001,Static Pressure,RCST,,p-280020000,,,,,0.80%,,8.273712,kPa
DP-9001,Differential Pressure,RCCS,,cntrlvar-507,,,,,0.78%,,0.011831408,kPa
,,,,,,,,,,,,
TF-9001,Temperature Transmitter,RCCS Storage Tank ,,tempf-450030000,,,,,,,,
TF-9002,Temperature Transmitter,RCCS Feed Line ,,tempf-945010000,,,,,,,,
TF-9003,Temperature Transmitter,RCCS Inlet,,,,,,,,,,
TF-9004,Temperature Transmitter,RCCS Outlet,,,,,,,,,,
TF-3001,Temperature Transmitter,Outlet Duct,,tempg-200020000,,,,,,,,
TF-6001,Temperature Transmitter,Inlet Duct,,tempg-270030000,,,,,,,,
TF-6201,Temperature Transmitter,Circulator Inlet ,,tempg-230010000,,,,,,,,
TF-6202,Temperature Transmitter,Circulator Outlet,,tempg-240010000,,,,,,,,
TF-4001,Temperature Transmitter,RCST Recirculation Outlet,,,,,,,,,,
TF-5001,Temperature Transmitter,Steam Generator Inlet,,tempf-330010000,,,,,,,,
TF-5002,Temperature Transmitter,Steam Generator Outlet,,,,,,,,,,
TF-6203,Temperature Transmitter,Cooling Water Temperature,,,,,,,,,,
TF-6204,Temperature Transmitter,Circulator oil,,,,,,,,,,
,,,,,,,,,,,,
PT-3001,Pressure Transmitter,Outlet Duct Pressure,,p-200020000,,,,,1.26%,,13.0310964,kPa
PT-3002,Pressure Transmitter,Primary hot leg,,,,,,,,,,
PT-6002,Pressure Transmitter,Inlet Duct Pressure,,p-270030000,,,,,1.26%,,13.0310964,kPa
PT-6201,Pressure Transmitter,Circulator Inlet Pressure,,p-230010000,,,,,1.26%,,13.0310964,kPa
PT-6202,Pressure Transmitter,Circulator Outlet Pressure ,,p-240010000,,,,,1.26%,,13.0310964,kPa
PT-4002,Pressure Transmitter,RCST Recirculation Pressure,,,,,,,0.80%,,8.273712,kPa
DP-4002,Differential Pressure Transmitter,RCST Differential,,,,,,,0.78%,,0.011831408,kPa
PT-6203,Pressure Transmitter,Prim circ cooling water,,,,,,,,,,
PT-5001,Pressure Transmitter,Steam Generator Pressure,,p-355010000,,,,,1.26%,,13.0310964,kPa
LF-5002,Level Differential Pressure,Steam Generator Level,,cntrlvar-355,,,,,,,,
,,,,,,,,,,,,
FT-5001,Flow Transmitter,Steam Generator Feed Flow,,mflowj-320000000,,,,,,,,
FT-9001,Flow Transmitter,RCCS Feed Flow Transmitter,,mflowj-410000000,,,,,,,,
,,,,,,,,,,,,
OA-4001,Oxygen Analyzer,RCST Vent,,,,,,,,,,
OA-2801,Oxygen Analyzer,Primary Loop Oxygen Analyzer,,,,,,,,,,
,,,,,,,,,,,,
KW-101,Power Meter,Heater Rod Bank #1,,,,,,,,,,
KW-102,Power Meter,Heater Rod Bank #2,,,,,,,,,,
KW-103,Power Meter,Heater Rod Bank #3,,,,,,,,,,
KW-104,Power Meter,Heater Rod Bank #4,,,,,,,,,,
KW-105,Power Meter,Heater Rod Bank #5,,,,,,,,,,
KW-106,Power Meter,Heater Rod Bank #6,,,,,,,,,,
KW-107,Power Meter,Heater Rod Bank #7,,,,,,,,,,
KW-108,Power Meter,Heater Rod Bank #8,,,,,,,,,,
KW-109,Power Meter,Heater Rod Bank #9,,,,,,,,,,
KW-110,Power Meter,Heater Rod Bank #10,,,,,,,,,,
,,,,,,,,,,,,
CV-6201,Pressure Control Valve,Primary Circulator Vent Valve,,,,,,,,,,
CV-5001,Pressure Control Valve,Steam Generator Blowdown,,,,,,,,,,
CV-5002,Level Control Valve,Steam Generator Level Control Valve,,,,,,,,,,
CV-4001,Flow Control Valve,RCST Circulation Valve,,,,,,,,,,
CV-9001,Flow Control Valve,RCCS Pump Outlet ,,,,,,,,,,
,,,,,,,,,,,,
MS-5001,Variable Speed Drive,Steam Generator Feed Pump ,,,,,,,,,,
MS-6201,Variable Speed Drive,Primary Side Circulator Pump,,,,,,,,,,
MS-4001,Variable Speed Drive,RCST Vacuum Pump,,,,,,,,,,
MS-9001,Variable Speed Drive,RCCS Feed Pump,,,,,,,,,,
,,,,,,,,,,,,
HO-0001,Silicon Control Rectifiers,Heater Rod Bank #1,,,,,,,,,,
HO-0002,Silicon Control Rectifiers,Heater Rod Bank #2,,,,,,,,,,
HO-0003,Silicon Control Rectifiers,Heater Rod Bank #3,,,,,,,,,,
HO-0004,Silicon Control Rectifiers,Heater Rod Bank #4,,,,,,,,,,
HO-0005,Silicon Control Rectifiers,Heater Rod Bank #5,,,,,,,,,,
HO-0006,Silicon Control Rectifiers,Heater Rod Bank #6,,,,,,,,,,
HO-0007,Silicon Control Rectifiers,Heater Rod Bank #7,,,,,,,,,,
HO-0008,Silicon Control Rectifiers,Heater Rod Bank #8,,,,,,,,,,
HO-0009,Silicon Control Rectifiers,Heater Rod Bank #9,,,,,,,,,,
HO-0010,Silicon Control Rectifiers,Heater Rod Bank #10,,,,,,,,,,
,,,,,,,,,,,,
CV-9003,Solenoid Valve,RCCS Water Tank Pressure ,,,,,,,,,,
CV-6202,Solenoid Valve,Circulator Pressure,,,,,,,,,,
CV-9002,Solenoid Valve,RCCS Water Tank Level,,,,,,,,,,
SV-6201,Solenoid Valve,Circulator Outlet,,,,,,,,,,
SV-3001,Solenoid Valve,Hot Leg Guillotine Break ,,,,,,,,,,
SV-6001,Solenoid Valve,Cold Leg Guillotine Break,,,,,,,,,,
SV-2801,Solenoid Valve,Lower Blowdown Valve,,,,,,,,,,
SV-8001,Solenoid Valve,Upper Blowdown Valve,,,,,,,,,,
SV-6203,Solenoid Valve,Circulator Helium Supply ,,,,,,,,,,
SV-4001,Solenoid Valve,Lower RCST Pump Inlet,,,,,,,,,,
SV-4002,Solenoid Valve,RCST Vacuum Pump Vent,,,,,,,,,,
SV-4003,Solenoid Valve,Communication Break Valve,,,,,,,,,,
SV-4004,Solenoid Valve,RCST Gas Supply,,,,,,,,,,
,,,,,,,,,,,,
ME-5001,Hands-Off-Automatic for Variable Speed Drive,Steam Generator Feed Pump ,,,,,,,,,,
ME-6201,Hands-Off-Automatic for Variable Speed Drive,Primary Side Circulator Pump,,,,,,,,,,
ME-4001,Hands-Off-Automatic for Variable Speed Drive,Vacuum Pump,,,,,,,,,,
ME-6202,Hands-Off-Automatic,Cooling Water Pump,,,,,,,,,,
ME-9001,Hands-Off-Automatic for Variable Speed Drive,RCCS Feed Pump,,,,,,,,,,
,,,,,,,,,,,,
CR-0001,Heater SCR Contactors,Heater Rod Bank #1,,,,,,,,,,
CR-0002,Heater SCR Contactors,Heater Rod Bank #2,,,,,,,,,,
CR-0003,Heater SCR Contactors,Heater Rod Bank #3,,,,,,,,,,
CR-0004,Heater SCR Contactors,Heater Rod Bank #4,,,,,,,,,,
CR-0005,Heater SCR Contactors,Heater Rod Bank #5,,,,,,,,,,
CR-0006,Heater SCR Contactors,Heater Rod Bank #6,,,,,,,,,,
CR-0007,Heater SCR Contactors,Heater Rod Bank #7,,,,,,,,,,
CR-0008,Heater SCR Contactors,Heater Rod Bank #8,,,,,,,,,,
CR-0009,Heater SCR Contactors,Heater Rod Bank #9,,,,,,,,,,
CR-0010,Heater SCR Contactors,Heater Rod Bank #10,,,,,,,,,,
ES-0001,Emergency Stop,,,,,,,,,,,
ES-0002,Emergency Stop,,,,,,,,,,,
,,,,,,,,,,,,
PL-9001,Pressure Switch Low,RCCS Water Tank,,,,,,,,,,
PL-6201,Pressure Switch Low,Circulator Cooling Water,,,,,,,,,,
LL-9002,Level Switch Low,RCCS Water Tank,,,,,,,,,,
OT-6201,Temperature Switch High,Circulator Oil,,,,,,,,,,
,,,,,,,,,,,,
MF-6201,Position Switch Closed/Open,Circulator Outlet,,,,,,,,,,
MF-3001,Position Switch Closed/Open,Hot Leg Guillotine Break,,,,,,,,,,
MF-6001,Position Switch Closed/Open,Cold Leg Guillotine Break,,,,,,,,,,
MF-2801,Position Switch Closed/Open,Lower Blowdown Valve,,,,,,,,,,
MF-8001,Position Switch Closed/Open,Upper Blowdown Valve,,,,,,,,,,
MF-4001,Position Switch Closed/Open,Lower RCST Pump Inlet,,,,,,,,,,
MF-4002,Position Switch Closed/Open,RCST Vacuum Pump Vent,,,,,,,,,,
,,,,,,,,,,,,
MC-5001,Contractor for Variable Speed Drive Feedback,Steam Generator Feed Pump ,,,,,,,,,,
MC-6201,Contractor for Variable Speed Drive Feedback ,Primary Side Circulator Pump,,,,,,,,,,
MC-4001,Contractor for Variable Speed Drive Feedback,Vacuum Pump,,,,,,,,,,
MC-9001,Contractor for Variable Speed Drive Feedback,RCCS Feed Pump,,,,,,,,,,
