Instrument,Sector,Angle,Location,Number
TS-1003,Sector#1,0,0.000,1
TS-1004,Sector#1,171.7974,0.180,2
TS-1005,Sector#1,154.3453,0.320,5
TF-1006,Sector#1,156.035,0.338,6
TS-1007,Sector#1,185.5919,0.365,7
TF-1008,Sector#1,184.35,0.383,8
TS-1009,Sector#1,196.8117,0.475,9
TF-1010,Sector#1,195.124,0.493,10
TS-1011,Sector#1,170.9945,0.600,13
TS-1012,Sector#1,180.0331,0.850,18
