Instrument,Sector,Angle,Location,Number
TS-1107,Sector#1,0,0,1
TS-1108,Sector#1,171.7974,0.18,2
TS-1109,Sector#1,154.3453,0.32,5
TF-1110,Sector#1,156.035,0.338,6
TS-1111,Sector#1,185.5919,0.365,7
TF-1112,Sector#1,184.35,0.383,8
TS-1113,Sector#1,196.8117,0.475,9
TF-1114,Sector#1,195.124,0.493,10
TS-1115,Sector#1,170.9945,0.6,13
TS-1116,Sector#1,200.6635,0.275,3
TS-1117,Sector#1,190.9288,0.522,12
TS-1118,Sector#1,189.6157145,0.673,15
TS-1119,Sector#1,180,0.673,16
TS-1120,Sector#1,170.3842855,0.673,17
TS-1121,Sector#2,51.7974,0.18,2
TS-1122,Sector#2,34.3453,0.32,5
TF-1123,Sector#2,36.035,0.338,6
TS-1124,Sector#2,65.5919,0.365,7
TF-1125,Sector#2,64.35,0.383,8
TS-1126,Sector#2,76.8117,0.475,9
TF-1127,Sector#2,75.124,0.493,10
TS-1128,Sector#2,50.9945,0.6,13
TS-1129,Sector#2,80.6635,0.275,3
TS-1130,Sector#2,70.9288,0.522,12
TS-1131,Sector#2,69.616,0.673,15
TS-1132,Sector#2,60,0.673,16
TS-1133,Sector#2,50.384,0.673,17
